acl 2.2.49-2
shared-mime-info 0.80-1
skype 2.1.0.81-2
sloccount 2.26-5
slock 0.9-6
spotify 0.4.9.302-1
sqlite3 3.7.4-1
st-hg 20101216-1
startup-notification 0.10-1
sudo 1.7.4.p5-1
sysfsutils 2.1.0-5
syslog-ng 3.2.1-1
sysstat 9.0.6.1-1
sysvinit 2.88-2
tar 1.25-1
tcp_wrappers 7.6-12
terminus-font 4.32-1
texinfo 4.13a-5
ttf-ms-fonts 2.0-7
tzdata 2010o-1
udev 165-1
udiskie 0.3.6-1
udisks 1.0.2-1
usbutils 001-2
util-linux-ng 2.18-3
vbetool 1.1-1
vi 050325-3
videoproto 2.3.1-1
vim 7.3.69-2
vim-runtime 7.3.69-2
wavemon 0.7.1-1
wget 1.12-2
which 2.20-4
wifi-select 0.8-5
wireless_tools 29-4
wpa_actiond 1.1-1
wpa_supplicant 0.7.3-1
wpa_supplicant_gui 0.7.3-1
x11-ssh-askpass 1.2.4.1-2
xbitmaps 1.1.1-1
xcb-proto 1.6-2
xcb-util 0.3.6-1
xdg-utils 1.0.2.20100618-1
xextproto 7.1.2-1
xf86-input-evdev 2.5.0-1
xf86-video-fbdev 0.4.2-2
xf86-video-intel 2.13.0-4
xf86-video-vesa 2.3.0-3
xf86dgaproto 2.1-1
xf86vidmodeproto 2.3-1
xfsprogs 3.1.4-1
xineramaproto 1.2-1
xkeyboard-config 2.0-1
xorg-docs 1.6-1
xorg-font-utils 7.5-2
xorg-fonts-100dpi 1.0.1-3
xorg-fonts-75dpi 1.0.1-3
xorg-fonts-alias 1.0.2-1
xorg-fonts-encodings 1.0.3-1
xorg-fonts-misc 1.0.1-1
xorg-iceauth 1.0.4-1
xorg-luit 1.1.0-1
xorg-res-utils 1.0.3-3
xorg-server 1.9.2-2
xorg-server-common 1.9.2-2
xorg-server-utils 7.6-1
xorg-sessreg 1.0.6-1
xorg-twm 1.0.4-3
xorg-utils 7.6-6
xorg-xauth 1.0.5-1
xorg-xbacklight 1.1.2-1
xorg-xcmsdb 1.0.3-1
xorg-xdpyinfo 1.2.0-1
xorg-xdriinfo 1.0.4-1
xorg-xev 1.1.0-1
xorg-xfontsel 1.0.3-1
xorg-xgamma 1.0.4-1
xorg-xhost 1.0.4-1
xorg-xinit 1.3.0-2
xorg-xinput 1.5.3-1
xorg-xkb-utils 7.5-2
xorg-xlsatoms 1.1.0-1
xorg-xlsclients 1.1.1-1
xorg-xmodmap 1.0.5-1
xorg-xprop 1.2.0-1
xorg-xrandr 1.3.4-1
xorg-xrdb 1.0.7-1
xorg-xrefresh 1.0.4-1
xorg-xset 1.2.1-1
xorg-xsetroot 1.1.0-1
xorg-xvinfo 1.1.1-1
xorg-xwininfo 1.1.1-1
xproto 7.0.20-1
xterm 267-1
xulrunner 1.9.2.13-3
xz 5.0.0-1
yajl 1.0.11-3
yaourt 0.9.5.1-1
zlib 1.2.5-3
